420;          ;01;25;05;+;64;22;10;+5.93;   ;
421; 47    Cet;01;26;52;+;13;03;24;+5.66;CET;
422;          ;01;27;47;+;40;20;08;+6.60;   ;
423;          ;01;26;58;+;32;32;35;+5.79;   ;
424;  1Alp UMi;02;31;49;+;89;15;51;+2.02;UMI;Polaris
425;          ;01;27;47;+;10;54;06;+6.13;   ;
426;          ;01;28;23;+;07;57;41;+6.20;   ;
427; 38    Cas;01;31;14;+;70;15;53;+5.81;CAS;
428;          ;01;30;52;+;66;05;53;+6.14;   ;
429;   Gam Phe;01;28;22;+;43;19;06;+3.41;PHE;Gamma Phoenicis
430; 49    And;01;30;06;+;47;00;26;+5.27;AND;
431;          ;01;28;43;+;33;45;49;+6.58;   ;
432; 97    Psc;01;29;53;+;18;21;20;+6.02;PSC;
433; 48    Cet;01;29;36;+;21;37;46;+5.12;CET;
434; 98Mu  Psc;01;30;11;+;06;08;38;+4.84;PSC;Mu Piscium
435;          ;01;29;30;+;46;45;23;+6.31;   ;AW Phoenicis
436;          ;01;30;23;+;26;12;28;+5.93;   ;
437; 99Eta Psc;01;31;29;+;15;20;45;+3.62;PSC;Alpherg
438;          ;01;32;08;+;34;48;00;+6.39;   ;
439;          ;01;33;26;+;58;19;39;+5.70;   ;
440;   Del Phe;01;31;15;+;49;04;22;+3.95;PHE;Delta Phoenicis
441;          ;01;31;43;+;30;17;00;+5.82;   ;
442; 39Chi Cas;01;33;56;+;59;13;55;+4.71;CAS;
443;          ;01;31;39;+;45;34;32;+6.17;   ;
444;          ;01;33;03;+;09;00;53;+6.59;   ;
445;          ;01;32;56;+;36;51;55;+5.51;   ;
446;          ;01;34;17;+;37;14;14;+5.88;   ;
447;          ;01;32;36;+;49;43;40;+6.28;   ;
448;          ;01;33;43;+;07;01;31;+5.76;   ;
